imputacao,atributo,grupo,n,media,desvio_padrao,q25,mediana,q75,wasserstein,wasserstein_normalizada
KNN,age,Observado,838,29.60431980906921,14.362728470961738,21.0,28.0,38.375,0.0,0.0
KNN,age,Somente imputado,209,31.85939205264591,14.989370262957278,23.5,26.9,39.3,2.8270244080606717,0.1968305962043556
KNN,age,Após imputação,1047,30.054472721110788,14.510739769420253,21.0,27.244867166803957,39.0,0.5643248340827889,0.039290921305358446
KNN,fare,Observado,1046,32.166837667304016,48.91581962119258,7.8958,13.81665,30.923949999999998,0.0,0.0
KNN,fare,Somente imputado,1,18.029159999999997,,18.029159999999997,18.029159999999997,18.029159999999997,23.993805124282975,0.49051217602183966
KNN,fare,Após imputação,1047,32.153334632282714,48.89438392889063,7.8958,13.8583,30.8479,0.022916719316417266,0.00046849300479652375
MissForest,age,Observado,838,29.60431980906921,14.362728470961738,21.0,28.0,38.375,0.0,0.0
MissForest,age,Somente imputado,209,29.19354727645938,8.558938904421474,23.834735449735447,28.967958152958147,34.22693505568505,4.714291585180122,0.3282309203791869
MissForest,age,Após imputação,1047,29.522322235702013,13.40387441803826,21.0,28.0,38.0,0.9410572505278374,0.0655207854434098
MissForest,fare,Observado,1046,32.166837667304016,48.91581962119258,7.8958,13.81665,30.923949999999998,0.0,0.0
MissForest,fare,Somente imputado,1,7.219739583333332,,7.219739583333332,7.219739583333332,7.219739583333332,25.142616790152957,0.5139976593433184
MissForest,fare,Após imputação,1047,32.14301044850366,48.898510183783486,7.8958,13.775,30.8479,0.024013960640075237,0.0004909242209583929
