imputacao,balanceamento,modelo,otimizador,f1_cv,std_f1_cv,tempo_busca_s,tempo_refit_s,candidatos,imputacao_convergiu,parametros
KNN,SMOTE,Árvore de Decisão,Random Search,0.7408341958277108,0.009599284470111179,0.2399721670008148,0.007867625001381384,12,True,"{""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 5, ""modelo__max_depth"": 4, ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Árvore de Decisão,Optuna TPE,0.7320231380982755,0.002903591940251692,0.24243145900254603,0.007638333001523279,12,True,"{""modelo__criterion"": ""gini"", ""modelo__max_depth"": 5, ""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 5}"
KNN,SMOTE,Random Forest,Random Search,0.7419186521661464,0.007478607123279436,3.0470130420035275,0.11744166700009373,12,True,"{""modelo__n_estimators"": 200, ""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 5, ""modelo__max_features"": ""sqrt"", ""modelo__max_depth"": null, ""modelo__criterion"": ""entropy""}"
KNN,SMOTE,Random Forest,Optuna TPE,0.7465307891969676,0.007965542627957727,3.324647500001447,0.11327783399974578,12,True,"{""modelo__n_estimators"": 200, ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": ""log2"", ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Árvore de Decisão,Random Search,0.727666807341604,0.015161354786176834,0.22953475000031176,0.006299167001998285,12,True,"{""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 2, ""modelo__max_depth"": 3, ""modelo__criterion"": ""entropy""}"
KNN,RandomUnderSampling,Árvore de Decisão,Optuna TPE,0.727666807341604,0.015161354786176834,0.23562212499746238,0.006223500000487547,12,True,"{""modelo__criterion"": ""entropy"", ""modelo__max_depth"": 3, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 2}"
KNN,RandomUnderSampling,Random Forest,Random Search,0.7318281567645434,0.012404917022848232,2.6133660420018714,0.063742166999873,12,True,"{""modelo__n_estimators"": 140, ""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 2, ""modelo__max_features"": ""log2"", ""modelo__max_depth"": 6, ""modelo__criterion"": ""entropy""}"
KNN,RandomUnderSampling,Random Forest,Optuna TPE,0.7378605079851338,0.0069772732337118485,2.3158879580005305,0.041220917002647184,12,True,"{""modelo__n_estimators"": 80, ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": ""sqrt"", ""modelo__criterion"": ""gini""}"
MissForest,SMOTE,Árvore de Decisão,Random Search,0.7373719411112652,0.0037910996638138615,4.675227166997502,0.5697648749992368,12,True,"{""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 5, ""modelo__max_depth"": 4, ""modelo__criterion"": ""gini""}"
MissForest,SMOTE,Árvore de Decisão,Optuna TPE,0.7373719411112652,0.0037910996638138615,4.688622415997088,0.5628995830011263,12,True,"{""modelo__criterion"": ""gini"", ""modelo__max_depth"": 4, ""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 5}"
MissForest,SMOTE,Random Forest,Random Search,0.7433772119198876,0.006048020949757072,7.562063542001852,0.6810044580015528,12,True,"{""modelo__n_estimators"": 200, ""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 5, ""modelo__max_features"": ""sqrt"", ""modelo__max_depth"": null, ""modelo__criterion"": ""entropy""}"
MissForest,SMOTE,Random Forest,Optuna TPE,0.7530785167490536,0.006341231183403871,7.255864582999493,0.6292937500002154,12,True,"{""modelo__n_estimators"": 80, ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": ""sqrt"", ""modelo__criterion"": ""gini""}"
MissForest,RandomUnderSampling,Árvore de Decisão,Random Search,0.7282827443659051,0.013031820377848809,4.7675884580021375,0.5747419580002315,12,True,"{""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 2, ""modelo__max_depth"": 3, ""modelo__criterion"": ""entropy""}"
MissForest,RandomUnderSampling,Árvore de Decisão,Optuna TPE,0.7282827443659051,0.013031820377848809,4.819092791000003,0.5730877089990827,12,True,"{""modelo__criterion"": ""entropy"", ""modelo__max_depth"": 3, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 2}"
MissForest,RandomUnderSampling,Random Forest,Random Search,0.7342125114499704,0.018044874281875723,7.205721041002107,0.6512522090015409,12,True,"{""modelo__n_estimators"": 140, ""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": 0.8, ""modelo__max_depth"": 8, ""modelo__criterion"": ""gini""}"
MissForest,RandomUnderSampling,Random Forest,Optuna TPE,0.7307248306063054,0.009737772497504125,7.7354116669994255,0.6866229580009531,12,True,"{""modelo__n_estimators"": 200, ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": 0.8, ""modelo__criterion"": ""entropy""}"
