imputacao,balanceamento,modelo,otimizador,tentativa,f1_cv,parametros
KNN,SMOTE,Árvore de Decisão,Random Search,0,0.7130923990030303,"{""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 10, ""modelo__max_depth"": 6, ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Árvore de Decisão,Random Search,1,0.7130923990030303,"{""modelo__min_samples_split"": 20, ""modelo__min_samples_leaf"": 10, ""modelo__max_depth"": 6, ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Árvore de Decisão,Random Search,2,0.7302276658154275,"{""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5, ""modelo__max_depth"": 3, ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Árvore de Decisão,Random Search,3,0.6847106481481481,"{""modelo__min_samples_split"": 20, ""modelo__min_samples_leaf"": 5, ""modelo__max_depth"": 8, ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Árvore de Decisão,Random Search,4,0.7293223960596841,"{""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 2, ""modelo__max_depth"": 5, ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Árvore de Decisão,Random Search,5,0.726073076443447,"{""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5, ""modelo__max_depth"": 3, ""modelo__criterion"": ""entropy""}"
KNN,SMOTE,Árvore de Decisão,Random Search,6,0.7258413773941724,"{""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 2, ""modelo__max_depth"": 4, ""modelo__criterion"": ""entropy""}"
KNN,SMOTE,Árvore de Decisão,Random Search,7,0.7253601938033917,"{""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 10, ""modelo__max_depth"": 3, ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Árvore de Decisão,Random Search,8,0.7139275336072592,"{""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5, ""modelo__max_depth"": 6, ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Árvore de Decisão,Random Search,9,0.7171506948458622,"{""modelo__min_samples_split"": 20, ""modelo__min_samples_leaf"": 10, ""modelo__max_depth"": 6, ""modelo__criterion"": ""entropy""}"
KNN,SMOTE,Árvore de Decisão,Random Search,10,0.7408341958277108,"{""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 5, ""modelo__max_depth"": 4, ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Árvore de Decisão,Random Search,11,0.7241022469593897,"{""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 2, ""modelo__max_depth"": 3, ""modelo__criterion"": ""entropy""}"
KNN,SMOTE,Árvore de Decisão,Optuna TPE,0,0.7241022469593897,"{""modelo__criterion"": ""entropy"", ""modelo__max_depth"": 3, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 2}"
KNN,SMOTE,Árvore de Decisão,Optuna TPE,1,0.7122861438274789,"{""modelo__criterion"": ""entropy"", ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 20, ""modelo__min_samples_leaf"": 2}"
KNN,SMOTE,Árvore de Decisão,Optuna TPE,2,0.7019365587648493,"{""modelo__criterion"": ""gini"", ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 10}"
KNN,SMOTE,Árvore de Decisão,Optuna TPE,3,0.7306604042415525,"{""modelo__criterion"": ""entropy"", ""modelo__max_depth"": 4, ""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 10}"
KNN,SMOTE,Árvore de Decisão,Optuna TPE,4,0.7306604042415525,"{""modelo__criterion"": ""entropy"", ""modelo__max_depth"": 4, ""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 10}"
KNN,SMOTE,Árvore de Decisão,Optuna TPE,5,0.7320231380982755,"{""modelo__criterion"": ""gini"", ""modelo__max_depth"": 5, ""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 5}"
KNN,SMOTE,Árvore de Decisão,Optuna TPE,6,0.7320231380982755,"{""modelo__criterion"": ""gini"", ""modelo__max_depth"": 5, ""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 5}"
KNN,SMOTE,Árvore de Decisão,Optuna TPE,7,0.7139275336072592,"{""modelo__criterion"": ""gini"", ""modelo__max_depth"": 6, ""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 5}"
KNN,SMOTE,Árvore de Decisão,Optuna TPE,8,0.7212582717372694,"{""modelo__criterion"": ""entropy"", ""modelo__max_depth"": 5, ""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 5}"
KNN,SMOTE,Árvore de Decisão,Optuna TPE,9,0.7302276658154275,"{""modelo__criterion"": ""gini"", ""modelo__max_depth"": 3, ""modelo__min_samples_split"": 20, ""modelo__min_samples_leaf"": 5}"
KNN,SMOTE,Árvore de Decisão,Optuna TPE,10,0.7293223960596841,"{""modelo__criterion"": ""gini"", ""modelo__max_depth"": 5, ""modelo__min_samples_split"": 20, ""modelo__min_samples_leaf"": 2}"
KNN,SMOTE,Árvore de Decisão,Optuna TPE,11,0.7320231380982755,"{""modelo__criterion"": ""gini"", ""modelo__max_depth"": 5, ""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 5}"
KNN,SMOTE,Random Forest,Random Search,0,0.7284260686953465,"{""modelo__n_estimators"": 200, ""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 2, ""modelo__max_features"": 0.8, ""modelo__max_depth"": null, ""modelo__criterion"": ""entropy""}"
KNN,SMOTE,Random Forest,Random Search,1,0.7388503303046031,"{""modelo__n_estimators"": 140, ""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": 0.8, ""modelo__max_depth"": 8, ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Random Forest,Random Search,2,0.7419186521661464,"{""modelo__n_estimators"": 200, ""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 5, ""modelo__max_features"": ""sqrt"", ""modelo__max_depth"": null, ""modelo__criterion"": ""entropy""}"
KNN,SMOTE,Random Forest,Random Search,3,0.722297243939035,"{""modelo__n_estimators"": 80, ""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 5, ""modelo__max_features"": ""sqrt"", ""modelo__max_depth"": 6, ""modelo__criterion"": ""entropy""}"
KNN,SMOTE,Random Forest,Random Search,4,0.7387299943217043,"{""modelo__n_estimators"": 80, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5, ""modelo__max_features"": 0.8, ""modelo__max_depth"": 4, ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Random Forest,Random Search,5,0.7402852737943713,"{""modelo__n_estimators"": 140, ""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 2, ""modelo__max_features"": ""log2"", ""modelo__max_depth"": 6, ""modelo__criterion"": ""entropy""}"
KNN,SMOTE,Random Forest,Random Search,6,0.7387323001185925,"{""modelo__n_estimators"": 140, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5, ""modelo__max_features"": ""sqrt"", ""modelo__max_depth"": 8, ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Random Forest,Random Search,7,0.7257184865213498,"{""modelo__n_estimators"": 200, ""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 5, ""modelo__max_features"": ""log2"", ""modelo__max_depth"": 6, ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Random Forest,Random Search,8,0.7245091497660927,"{""modelo__n_estimators"": 80, ""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 2, ""modelo__max_features"": 0.8, ""modelo__max_depth"": 8, ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Random Forest,Random Search,9,0.7289520330176337,"{""modelo__n_estimators"": 140, ""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": ""log2"", ""modelo__max_depth"": null, ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Random Forest,Random Search,10,0.7335275045600831,"{""modelo__n_estimators"": 200, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 2, ""modelo__max_features"": ""log2"", ""modelo__max_depth"": null, ""modelo__criterion"": ""entropy""}"
KNN,SMOTE,Random Forest,Random Search,11,0.7399715224781073,"{""modelo__n_estimators"": 200, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 2, ""modelo__max_features"": ""log2"", ""modelo__max_depth"": null, ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Random Forest,Optuna TPE,0,0.7271054461062136,"{""modelo__n_estimators"": 140, ""modelo__max_depth"": 4, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 2, ""modelo__max_features"": ""sqrt"", ""modelo__criterion"": ""entropy""}"
KNN,SMOTE,Random Forest,Optuna TPE,1,0.7292674598549338,"{""modelo__n_estimators"": 200, ""modelo__max_depth"": null, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5, ""modelo__max_features"": 0.8, ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Random Forest,Optuna TPE,2,0.737287449363284,"{""modelo__n_estimators"": 200, ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5, ""modelo__max_features"": ""log2"", ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Random Forest,Optuna TPE,3,0.7218276515151515,"{""modelo__n_estimators"": 140, ""modelo__max_depth"": null, ""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 2, ""modelo__max_features"": 0.8, ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Random Forest,Optuna TPE,4,0.7465307891969676,"{""modelo__n_estimators"": 200, ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": ""log2"", ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Random Forest,Optuna TPE,5,0.7446185190576272,"{""modelo__n_estimators"": 80, ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": ""sqrt"", ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Random Forest,Optuna TPE,6,0.7394257611648917,"{""modelo__n_estimators"": 200, ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": ""log2"", ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Random Forest,Optuna TPE,7,0.7325921892328804,"{""modelo__n_estimators"": 200, ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": 0.8, ""modelo__criterion"": ""entropy""}"
KNN,SMOTE,Random Forest,Optuna TPE,8,0.7312822793371992,"{""modelo__n_estimators"": 200, ""modelo__max_depth"": null, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": ""log2"", ""modelo__criterion"": ""gini""}"
KNN,SMOTE,Random Forest,Optuna TPE,9,0.7435267687999482,"{""modelo__n_estimators"": 140, ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": ""log2"", ""modelo__criterion"": ""entropy""}"
KNN,SMOTE,Random Forest,Optuna TPE,10,0.7339898682195095,"{""modelo__n_estimators"": 200, ""modelo__max_depth"": 6, ""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 5, ""modelo__max_features"": ""log2"", ""modelo__criterion"": ""entropy""}"
KNN,SMOTE,Random Forest,Optuna TPE,11,0.7301901099046962,"{""modelo__n_estimators"": 80, ""modelo__max_depth"": null, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 1, ""modelo__max_features"": ""sqrt"", ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Árvore de Decisão,Random Search,0,0.6955749329725124,"{""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 10, ""modelo__max_depth"": 6, ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Árvore de Decisão,Random Search,1,0.6955749329725124,"{""modelo__min_samples_split"": 20, ""modelo__min_samples_leaf"": 10, ""modelo__max_depth"": 6, ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Árvore de Decisão,Random Search,2,0.7141398102110115,"{""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5, ""modelo__max_depth"": 3, ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Árvore de Decisão,Random Search,3,0.6979879834433277,"{""modelo__min_samples_split"": 20, ""modelo__min_samples_leaf"": 5, ""modelo__max_depth"": 8, ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Árvore de Decisão,Random Search,4,0.7028497501403906,"{""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 2, ""modelo__max_depth"": 5, ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Árvore de Decisão,Random Search,5,0.7245294381664991,"{""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5, ""modelo__max_depth"": 3, ""modelo__criterion"": ""entropy""}"
KNN,RandomUnderSampling,Árvore de Decisão,Random Search,6,0.717961911924024,"{""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 2, ""modelo__max_depth"": 4, ""modelo__criterion"": ""entropy""}"
KNN,RandomUnderSampling,Árvore de Decisão,Random Search,7,0.7068116508147031,"{""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 10, ""modelo__max_depth"": 3, ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Árvore de Decisão,Random Search,8,0.7074266134667838,"{""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5, ""modelo__max_depth"": 6, ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Árvore de Decisão,Random Search,9,0.702343770775833,"{""modelo__min_samples_split"": 20, ""modelo__min_samples_leaf"": 10, ""modelo__max_depth"": 6, ""modelo__criterion"": ""entropy""}"
KNN,RandomUnderSampling,Árvore de Decisão,Random Search,10,0.7231434609341442,"{""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 5, ""modelo__max_depth"": 4, ""modelo__criterion"": ""gini""}"
KNN,RandomUnderSampling,Árvore de Decisão,Random Search,11,0.727666807341604,"{""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 2, ""modelo__max_depth"": 3, ""modelo__criterion"": ""entropy""}"
KNN,RandomUnderSampling,Árvore de Decisão,Optuna TPE,0,0.727666807341604,"{""modelo__criterion"": ""entropy"", ""modelo__max_depth"": 3, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 2}"
KNN,RandomUnderSampling,Árvore de Decisão,Optuna TPE,1,0.7031736986556264,"{""modelo__criterion"": ""entropy"", ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 20, ""modelo__min_samples_leaf"": 2}"
KNN,RandomUnderSampling,Árvore de Decisão,Optuna TPE,2,0.6931499675089756,"{""modelo__criterion"": ""gini"", ""modelo__max_depth"": 8, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 10}"
KNN,RandomUnderSampling,Árvore de Decisão,Optuna TPE,3,0.7099255227502878,"{""modelo__criterion"": ""entropy"", ""modelo__max_depth"": 4, ""modelo__min_samples_split"": 5, ""modelo__min_samples_leaf"": 10}"
KNN,RandomUnderSampling,Árvore de Decisão,Optuna TPE,4,0.727666807341604,"{""modelo__criterion"": ""entropy"", ""modelo__max_depth"": 3, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 2}"
KNN,RandomUnderSampling,Árvore de Decisão,Optuna TPE,5,0.7078125934699641,"{""modelo__criterion"": ""gini"", ""modelo__max_depth"": 5, ""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 5}"
KNN,RandomUnderSampling,Árvore de Decisão,Optuna TPE,6,0.7245294381664991,"{""modelo__criterion"": ""entropy"", ""modelo__max_depth"": 3, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 5}"
KNN,RandomUnderSampling,Árvore de Decisão,Optuna TPE,7,0.7268388932225944,"{""modelo__criterion"": ""gini"", ""modelo__max_depth"": 3, ""modelo__min_samples_split"": 20, ""modelo__min_samples_leaf"": 2}"
KNN,RandomUnderSampling,Árvore de Decisão,Optuna TPE,8,0.7216154242252754,"{""modelo__criterion"": ""gini"", ""modelo__max_depth"": 4, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 2}"
KNN,RandomUnderSampling,Árvore de Decisão,Optuna TPE,9,0.7194843586289478,"{""modelo__criterion"": ""entropy"", ""modelo__max_depth"": 6, ""modelo__min_samples_split"": 2, ""modelo__min_samples_leaf"": 2}"
KNN,RandomUnderSampling,Árvore de Decisão,Optuna TPE,10,0.7087348958536052,"{""modelo__criterion"": ""entropy"", ""modelo__max_depth"": 3, ""modelo__min_samples_split"": 10, ""modelo__min_samples_leaf"": 10}"
