imputacao,balanceamento,modelo,otimizador,acuracia,precisao,recall,f1,f1_macro
KNN,SMOTE,Árvore de Decisão,Random Search,0.8244274809160306,0.7454545454545455,0.82,0.780952380952381,0.8172277828328784
KNN,SMOTE,Árvore de Decisão,Optuna TPE,0.816793893129771,0.7363636363636363,0.81,0.7714285714285715,0.8092811646951774
KNN,SMOTE,Random Forest,Random Search,0.8282442748091603,0.7669902912621359,0.79,0.7783251231527094,0.8190691036324295
KNN,SMOTE,Random Forest,Optuna TPE,0.8320610687022901,0.7745098039215687,0.79,0.7821782178217822,0.8227661275444315
KNN,RandomUnderSampling,Árvore de Decisão,Random Search,0.8396946564885496,0.8152173913043478,0.75,0.78125,0.8273719879518072
KNN,RandomUnderSampling,Árvore de Decisão,Optuna TPE,0.8396946564885496,0.8152173913043478,0.75,0.78125,0.8273719879518072
KNN,RandomUnderSampling,Random Forest,Random Search,0.8282442748091603,0.7570093457943925,0.81,0.782608695652174,0.8203264298450144
KNN,RandomUnderSampling,Random Forest,Optuna TPE,0.8129770992366412,0.7383177570093458,0.79,0.7632850241545893,0.8043554458312379
MissForest,SMOTE,Árvore de Decisão,Random Search,0.8129770992366412,0.7256637168141593,0.82,0.7699530516431925,0.8061983907733647
MissForest,SMOTE,Árvore de Decisão,Optuna TPE,0.8129770992366412,0.7256637168141593,0.82,0.7699530516431925,0.8061983907733647
MissForest,SMOTE,Random Forest,Random Search,0.8358778625954199,0.7714285714285715,0.81,0.7902439024390244,0.8277238320972551
MissForest,SMOTE,Random Forest,Optuna TPE,0.8358778625954199,0.7714285714285715,0.81,0.7902439024390244,0.8277238320972551
MissForest,RandomUnderSampling,Árvore de Decisão,Random Search,0.8320610687022901,0.7978723404255319,0.75,0.7731958762886598,0.8199312714776632
MissForest,RandomUnderSampling,Árvore de Decisão,Optuna TPE,0.8320610687022901,0.7978723404255319,0.75,0.7731958762886598,0.8199312714776632
MissForest,RandomUnderSampling,Random Forest,Random Search,0.8244274809160306,0.7596153846153846,0.79,0.7745098039215687,0.8153799019607844
MissForest,RandomUnderSampling,Random Forest,Optuna TPE,0.816793893129771,0.7549019607843137,0.77,0.7623762376237624,0.8066539573211979
