indice_original,real,KNN | SMOTE | Árvore de Decisão | Random Search,KNN | SMOTE | Árvore de Decisão | Optuna TPE,KNN | SMOTE | Random Forest | Random Search,KNN | SMOTE | Random Forest | Optuna TPE,KNN | RandomUnderSampling | Árvore de Decisão | Random Search,KNN | RandomUnderSampling | Árvore de Decisão | Optuna TPE,KNN | RandomUnderSampling | Random Forest | Random Search,KNN | RandomUnderSampling | Random Forest | Optuna TPE,MissForest | SMOTE | Árvore de Decisão | Random Search,MissForest | SMOTE | Árvore de Decisão | Optuna TPE,MissForest | SMOTE | Random Forest | Random Search,MissForest | SMOTE | Random Forest | Optuna TPE,MissForest | RandomUnderSampling | Árvore de Decisão | Random Search,MissForest | RandomUnderSampling | Árvore de Decisão | Optuna TPE,MissForest | RandomUnderSampling | Random Forest | Random Search,MissForest | RandomUnderSampling | Random Forest | Optuna TPE
1028,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
1121,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0
1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1251,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
975,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
77,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1
181,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
533,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1263,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
947,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
183,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
922,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0
1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
959,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
